,i,vehicle_id,manufacturer_id,zipcode,timestamp,latlon,dist,seconds,co2_grams,total_dist,total_seconds,total_co2_grams,timestamp_tripstart,avg_kmperhour,avg_co2perkm,trip_id
21,21,V54710278,V51759,12489,2021-08-19 18:13:45,"(52.4348658, 13.5380087)",0.02,3.0,3.02,1.23,180.0,111.0,2021-08-19 18:10:45,24.599999999999998,90.2439024390244,3
22,22,V54710278,V51759,12489,2021-08-19 18:13:53,"(52.4346022, 13.5384222)",0.04,8.0,7.24,1.27,188.0,118.0,2021-08-19 18:10:45,24.319148936170215,92.91338582677166,3
23,23,V54710278,V51759,12489,2021-08-19 18:13:59,"(52.4345774, 13.5384612)",0.0,6.0,0.0,1.27,194.0,118.0,2021-08-19 18:10:45,23.567010309278352,92.91338582677166,3
24,24,V54710278,V51759,12489,2021-08-19 18:14:00,"(52.4345004, 13.5385819)",0.01,1.0,1.08,1.28,195.0,119.0,2021-08-19 18:10:45,23.630769230769232,92.96875,3
25,25,V54710278,V51759,12489,2021-08-19 18:14:01,"(52.4344396, 13.5386779)",0.01,1.0,0.8,1.29,196.0,120.0,2021-08-19 18:10:45,23.69387755102041,93.02325581395348,3
26,26,V54710278,V51759,12489,2021-08-19 18:14:09,"(52.4344192, 13.53871)",0.0,8.0,0.0,1.29,204.0,120.0,2021-08-19 18:10:45,22.764705882352942,93.02325581395348,3
27,27,V54710278,V51759,12489,2021-08-19 18:14:10,"(52.4343785, 13.5387743)",0.01,1.0,1.3,1.3,205.0,121.0,2021-08-19 18:10:45,22.82926829268293,93.07692307692308,3
28,28,V54710278,V51759,12489,2021-08-19 18:14:11,"(52.4344557, 13.5389739)",0.02,1.0,2.62,1.32,206.0,124.0,2021-08-19 18:10:45,23.067961165048548,93.93939393939394,3
29,29,V54710278,V51759,12489,2021-08-19 18:14:15,"(52.4348018, 13.5398691)",0.07,4.0,10.01,1.39,210.0,134.0,2021-08-19 18:10:45,23.828571428571426,96.40287769784173,3
30,30,V54710278,V51759,12489,2021-08-19 18:14:16,"(52.4348355, 13.5399563)",0.01,1.0,1.0,1.4,211.0,135.0,2021-08-19 18:10:45,23.886255924170616,96.42857142857143,3
31,31,V54710278,V51759,12489,2021-08-19 18:14:22,"(52.4348594, 13.540018)",0.0,6.0,0.0,1.4,217.0,135.0,2021-08-19 18:10:45,23.2258064516129,96.42857142857143,3
32,32,V54710278,V51759,12489,2021-08-19 18:14:23,"(52.4348903, 13.540098)",0.01,1.0,1.31,1.41,218.0,136.0,2021-08-19 18:10:45,23.284403669724767,96.45390070921987,3
33,33,V54710278,V51759,12489,2021-08-19 18:14:25,"(52.4349492, 13.5402505)",0.01,2.0,1.05,1.42,220.0,137.0,2021-08-19 18:10:45,23.236363636363635,96.47887323943662,3
34,34,V54710278,V51759,12489,2021-08-19 18:14:28,"(52.4350238, 13.5404435)",0.02,3.0,1.5,1.44,223.0,138.0,2021-08-19 18:10:45,23.246636771300448,95.83333333333334,3
35,35,V54710278,V51759,12489,2021-08-19 18:14:33,"(52.4351093, 13.5406631)",0.02,5.0,1.18,1.46,228.0,139.0,2021-08-19 18:10:45,23.05263157894737,95.2054794520548,3
36,36,V54710278,V51759,12489,2021-08-19 18:14:37,"(52.4351834, 13.5408533)",0.02,4.0,0.84,1.48,232.0,140.0,2021-08-19 18:10:45,22.96551724137931,94.5945945945946,3
37,37,V54710278,V51759,12489,2021-08-19 18:14:43,"(52.4351942, 13.5408811)",0.0,6.0,0.0,1.48,238.0,140.0,2021-08-19 18:10:45,22.38655462184874,94.5945945945946,3
38,38,V54710278,V51759,12489,2021-08-19 18:14:46,"(52.4351967, 13.5408876)",0.0,3.0,0.0,1.48,241.0,140.0,2021-08-19 18:10:45,22.107883817427386,94.5945945945946,3
39,39,V54710278,V51759,12489,2021-08-19 18:14:47,"(52.4352713, 13.541083)",0.02,1.0,3.04,1.5,242.0,143.0,2021-08-19 18:10:45,22.314049586776857,95.33333333333333,3
40,40,V54710278,V51759,12489,2021-08-19 18:14:53,"(52.4352855, 13.5411203)",0.0,6.0,0.0,1.5,248.0,143.0,2021-08-19 18:10:45,21.774193548387093,95.33333333333333,3
41,41,V54710278,V51759,12489,2021-08-19 18:14:54,"(52.4353423, 13.5412674)",0.01,1.0,1.05,1.51,249.0,144.0,2021-08-19 18:10:45,21.83132530120482,95.36423841059603,3
42,42,V54710278,V51759,12489,2021-08-19 18:14:55,"(52.4352669, 13.5413672)",0.01,1.0,0.78,1.52,250.0,145.0,2021-08-19 18:10:45,21.887999999999998,95.39473684210526,3
43,43,V54710278,V51759,12489,2021-08-19 18:15:05,"(52.4348339, 13.5419388)",0.06,10.0,3.66,1.58,260.0,149.0,2021-08-19 18:10:45,21.87692307692308,94.30379746835443,3
44,44,V54710278,V51759,12489,2021-08-19 18:15:24,"(52.4343319, 13.5425447)",0.07,19.0,5.04,1.65,279.0,154.0,2021-08-19 18:10:45,21.29032258064516,93.33333333333334,3
45,45,V54710278,V51759,12489,2021-08-19 18:16:00,"(52.4336957, 13.5434082)",0.09,36.0,4.5,1.74,315.0,158.0,2021-08-19 18:10:45,19.885714285714286,90.80459770114942,3
46,46,V54710278,V51759,12489,2021-08-19 18:17:23,"(52.4321809, 13.5456582)",0.23,83.0,11.04,1.97,398.0,169.0,2021-08-19 18:10:45,17.819095477386934,85.78680203045685,3
47,47,V54710278,V51759,12489,2021-08-19 18:17:43,"(52.4318423, 13.5461763)",0.05,20.0,2.45,2.02,418.0,171.0,2021-08-19 18:10:45,17.39712918660287,84.65346534653466,3
48,48,V54710278,V51759,12489,2021-08-19 18:18:01,"(52.4315545, 13.546621)",0.04,18.0,2.36,2.06,436.0,173.0,2021-08-19 18:10:45,17.009174311926607,83.98058252427184,3
49,49,V54710278,V51759,12489,2021-08-19 18:18:08,"(52.4314683, 13.5467501)",0.01,7.0,0.65,2.07,443.0,174.0,2021-08-19 18:10:45,16.821670428893903,84.05797101449276,3
50,50,V54710278,V51759,12489,2021-08-19 18:18:20,"(52.4314028, 13.5468472)",0.01,12.0,0.73,2.08,455.0,175.0,2021-08-19 18:10:45,16.45714285714286,84.13461538461539,3
51,51,V54710278,V51759,12489,2021-08-19 18:19:32,"(52.4311377, 13.5472402)",0.04,72.0,2.64,2.12,527.0,178.0,2021-08-19 18:10:45,14.481973434535107,83.9622641509434,3
52,52,V54710278,V51759,12489,2021-08-19 18:21:02,"(52.430839, 13.54772)",0.05,90.0,2.5,2.17,617.0,180.0,2021-08-19 18:10:45,12.6612641815235,82.94930875576037,3
53,53,V54710278,V51759,12489,2021-08-19 18:23:08,"(52.4303629, 13.5484983)",0.07,126.0,2.94,2.24,743.0,183.0,2021-08-19 18:10:45,10.853297442799464,81.69642857142857,3
54,54,V54710278,V51759,12489,2021-08-19 18:24:02,"(52.4301793, 13.548791)",0.03,54.0,1.44,2.27,797.0,184.0,2021-08-19 18:10:45,10.253450439146802,81.05726872246696,3
55,55,V54710278,V51759,12489,2021-08-19 18:24:38,"(52.4300952, 13.5489278)",0.01,36.0,0.41,2.28,833.0,184.0,2021-08-19 18:10:45,9.853541416566626,80.70175438596492,3
56,56,V54710278,V51759,12489,2021-08-19 18:28:14,"(52.429733, 13.5495246)",0.06,216.0,2.52,2.34,1049.0,187.0,2021-08-19 18:10:45,8.030505243088655,79.91452991452992,3
57,57,V54710278,V51759,12489,2021-08-19 18:32:26,"(52.4292844, 13.5502011)",0.07,252.0,2.38,2.41,1301.0,189.0,2021-08-19 18:10:45,6.668716372021523,78.42323651452281,3
58,58,V54710278,V51759,12489,2021-08-19 18:33:38,"(52.4291495, 13.5504158)",0.02,72.0,0.62,2.43,1373.0,190.0,2021-08-19 18:10:45,6.371449380917699,78.18930041152262,3
59,59,V54710278,V51759,12489,2021-08-19 18:33:42,"(52.429123, 13.550458)",0.0,4.0,0.0,2.43,1377.0,190.0,2021-08-19 18:10:45,6.352941176470589,78.18930041152262,3
60,60,V54710278,V51759,12489,2021-08-19 18:33:43,"(52.4290869, 13.5505125)",0.01,1.0,1.26,2.44,1378.0,191.0,2021-08-19 18:10:45,6.3744557329462985,78.27868852459017,3
61,61,V54710278,V51759,12489,2021-08-19 18:33:44,"(52.4290446, 13.5505764)",0.01,1.0,1.47,2.45,1379.0,192.0,2021-08-19 18:10:45,6.395939086294416,78.3673469387755,3
62,62,V54710278,V51759,12489,2021-08-19 18:33:45,"(52.4289655, 13.5506922)",0.01,1.0,1.5,2.46,1380.0,194.0,2021-08-19 18:10:45,6.4173913043478255,78.86178861788618,3
63,63,V54710278,V51759,12489,2021-08-19 18:33:47,"(52.4289293, 13.5507473)",0.01,2.0,1.29,2.47,1382.0,195.0,2021-08-19 18:10:45,6.434153400868308,78.94736842105263,3
64,64,V54710278,V51759,12489,2021-08-19 18:33:49,"(52.4288762, 13.550828)",0.01,2.0,0.94,2.48,1384.0,196.0,2021-08-19 18:10:45,6.4508670520231215,79.03225806451613,3
65,65,V54710278,V51759,12489,2021-08-19 18:34:34,"(52.4275424, 13.5528444)",0.2,45.0,16.2,2.68,1429.0,212.0,2021-08-19 18:10:45,6.751574527641708,79.1044776119403,3
66,66,V54710278,V51759,12489,2021-08-19 18:34:45,"(52.4272484, 13.5532911)",0.04,11.0,2.92,2.72,1440.0,215.0,2021-08-19 18:10:45,6.8,79.04411764705881,3
67,67,V54710278,V51759,12489,2021-08-19 18:35:13,"(52.4267658, 13.5539961)",0.07,28.0,5.32,2.79,1468.0,220.0,2021-08-19 18:10:45,6.841961852861036,78.85304659498208,3
68,68,V54710278,V51759,12489,2021-08-19 18:35:27,"(52.426467, 13.5544249)",0.04,14.0,2.84,2.83,1482.0,223.0,2021-08-19 18:10:45,6.874493927125506,78.79858657243815,3
69,69,V54710278,V51759,12489,2021-08-19 18:35:41,"(52.4261798, 13.5548558)",0.04,14.0,2.36,2.87,1496.0,225.0,2021-08-19 18:10:45,6.906417112299465,78.397212543554,3
70,70,V54710278,V51759,12489,2021-08-19 18:35:48,"(52.4260442, 13.5550558)",0.02,7.0,1.06,2.89,1503.0,226.0,2021-08-19 18:10:45,6.922155688622754,78.20069204152249,3
71,71,V54710278,V51759,12527,2021-08-19 18:36:03,"(52.4258203, 13.555385)",0.03,15.0,1.53,2.92,1518.0,228.0,2021-08-19 18:10:45,6.92490118577075,78.08219178082192,3
72,72,V54710278,V51759,12527,2021-08-19 18:36:48,"(52.4255087, 13.5558446)",0.05,45.0,2.2,2.97,1563.0,230.0,2021-08-19 18:10:45,6.840690978886756,77.44107744107744,3
73,73,V54710278,V51759,12527,2021-08-19 18:38:36,"(52.4248829, 13.5567743)",0.09,108.0,4.59,3.06,1671.0,235.0,2021-08-19 18:10:45,6.59245960502693,76.79738562091504,3
74,74,V54710278,V51759,12527,2021-08-19 18:39:00,"(52.4247605, 13.5569586)",0.02,24.0,0.86,3.08,1695.0,236.0,2021-08-19 18:10:45,6.541592920353983,76.62337662337661,3
75,75,V54710278,V51759,12527,2021-08-19 18:39:48,"(52.4244641, 13.5573941)",0.04,48.0,1.56,3.12,1743.0,238.0,2021-08-19 18:10:45,6.444061962134251,76.28205128205128,3
76,76,V54710278,V51759,12527,2021-08-19 18:40:00,"(52.4243782, 13.557521)",0.01,12.0,0.43,3.13,1755.0,238.0,2021-08-19 18:10:45,6.420512820512821,76.03833865814697,3
77,77,V54710278,V51759,12527,2021-08-19 18:40:54,"(52.4241975, 13.5577891)",0.03,54.0,1.47,3.16,1809.0,239.0,2021-08-19 18:10:45,6.288557213930349,75.63291139240506,3
78,78,V54710278,V51759,12527,2021-08-19 18:48:06,"(52.4225643, 13.5601907)",0.24,432.0,10.8,3.4,2241.0,250.0,2021-08-19 18:10:45,5.4618473895582325,73.52941176470588,3
79,79,V54710278,V51759,12527,2021-08-19 18:57:06,"(52.4215606, 13.5616837)",0.15,540.0,6.9,3.55,2781.0,257.0,2021-08-19 18:10:45,4.59546925566343,72.3943661971831,3
80,80,V54710278,V51759,12527,2021-08-19 19:00:06,"(52.4212277, 13.5621807)",0.05,180.0,2.2,3.6,2961.0,259.0,2021-08-19 18:10:45,4.376899696048632,71.94444444444444,3
81,81,V54710278,V51759,12527,2021-08-19 19:08:30,"(52.4203183, 13.5635202)",0.14,504.0,7.42,3.74,3465.0,266.0,2021-08-19 18:10:45,3.8857142857142857,71.12299465240642,3
82,82,V54710278,V51759,12527,2021-08-19 19:10:18,"(52.4201033, 13.5638697)",0.03,108.0,1.29,3.77,3573.0,267.0,2021-08-19 18:10:45,3.798488664987406,70.82228116710876,3
83,83,V54710278,V51759,12527,2021-08-19 19:12:42,"(52.4198767, 13.5642726)",0.04,144.0,2.0,3.81,3717.0,269.0,2021-08-19 18:10:45,3.690072639225182,70.60367454068242,3
84,84,V54710278,V51759,12527,2021-08-19 19:15:42,"(52.4195618, 13.5647363)",0.05,180.0,1.75,3.86,3897.0,271.0,2021-08-19 18:10:45,3.5658198614318706,70.20725388601036,3
85,85,V54710278,V51759,12527,2021-08-19 19:18:06,"(52.4193158, 13.5650777)",0.04,144.0,1.64,3.9,4041.0,273.0,2021-08-19 18:10:45,3.474387527839644,70.0,3
86,86,V54710278,V51759,12527,2021-08-19 19:19:18,"(52.41914, 13.5652971)",0.02,72.0,0.82,3.92,4113.0,274.0,2021-08-19 18:10:45,3.431072210065646,69.89795918367346,3
87,87,V54710278,V51759,12527,2021-08-19 19:21:06,"(52.4188873, 13.5655966)",0.03,108.0,1.14,3.95,4221.0,275.0,2021-08-19 18:10:45,3.3688699360341157,69.62025316455696,3
88,88,V54710278,V51759,12527,2021-08-19 19:31:18,"(52.4176232, 13.5670387)",0.17,612.0,4.93,4.12,4833.0,280.0,2021-08-19 18:10:45,3.068901303538175,67.96116504854369,3
89,89,V54710278,V51759,12527,2021-08-19 19:35:30,"(52.4171186, 13.5676147)",0.07,252.0,2.03,4.19,5085.0,282.0,2021-08-19 18:10:45,2.966371681415929,67.30310262529832,3
90,90,V54710278,V51759,12527,2021-08-19 19:37:54,"(52.4168061, 13.5679972)",0.04,144.0,0.8,4.23,5229.0,283.0,2021-08-19 18:10:45,2.9122203098106714,66.903073286052,3
91,91,V54710278,V51759,12527,2021-08-19 19:39:42,"(52.4165758, 13.5683071)",0.03,108.0,0.66,4.26,5337.0,284.0,2021-08-19 18:10:45,2.8735244519392915,66.66666666666667,3
92,92,V54710278,V51759,12527,2021-08-19 19:42:06,"(52.4162826, 13.568725)",0.04,144.0,0.68,4.3,5481.0,285.0,2021-08-19 18:10:45,2.8243021346469623,66.27906976744187,3
93,93,V54710278,V51759,12527,2021-08-19 19:43:54,"(52.4160698, 13.5690557)",0.03,108.0,0.36,4.33,5589.0,285.0,2021-08-19 18:10:45,2.789049919484702,65.81986143187066,3
94,94,V54710278,V51759,12527,2021-08-19 19:46:18,"(52.4158093, 13.5695151)",0.04,144.0,0.56,4.37,5733.0,286.0,2021-08-19 18:10:45,2.7441130298273158,65.44622425629291,3
95,95,V54710278,V51759,12527,2021-08-19 19:51:06,"(52.4153319, 13.5704171)",0.08,288.0,1.12,4.45,6021.0,287.0,2021-08-19 18:10:45,2.66068759342302,64.49438202247191,3
96,96,V54710278,V51759,12527,2021-08-19 20:01:54,"(52.414268, 13.5724426)",0.18,648.0,2.16,4.63,6669.0,289.0,2021-08-19 18:10:45,2.4993252361673415,62.419006479481645,3
97,97,V54710278,V51759,12527,2021-08-19 20:03:42,"(52.4141312, 13.5727753)",0.03,108.0,0.42,4.66,6777.0,289.0,2021-08-19 18:10:45,2.4754316069057105,62.01716738197425,3
98,98,V54710278,V51759,12527,2021-08-19 20:04:18,"(52.4140601, 13.5729188)",0.01,36.0,0.11,4.67,6813.0,289.0,2021-08-19 18:10:45,2.467635402906209,61.88436830835118,3
99,99,V54710278,V51759,12527,2021-08-19 20:06:06,"(52.4138887, 13.5732399)",0.03,108.0,0.3,4.7,6921.0,289.0,2021-08-19 18:10:45,2.444733420026008,61.48936170212766,3
100,100,V54710278,V51759,12527,2021-08-19 20:07:54,"(52.4137156, 13.5735642)",0.03,108.0,0.3,4.73,7029.0,289.0,2021-08-19 18:10:45,2.4225352112676055,61.099365750528534,3
101,101,V54710278,V51759,12527,2021-08-19 20:08:30,"(52.4136801, 13.5736307)",0.01,36.0,0.09,4.74,7065.0,289.0,2021-08-19 18:10:45,2.415286624203822,60.970464135021096,3
102,102,V54710278,V51759,12527,2021-08-19 20:09:06,"(52.4136086, 13.5737647)",0.01,36.0,0.11,4.75,7101.0,289.0,2021-08-19 18:10:45,2.408111533586819,60.8421052631579,3
103,103,V54710278,V51759,12527,2021-08-19 20:09:42,"(52.4135384, 13.5739439)",0.01,36.0,0.11,4.76,7137.0,289.0,2021-08-19 18:10:45,2.401008827238335,60.714285714285715,3
104,104,V54710278,V51759,12527,2021-08-19 20:09:49,"(52.4135132, 13.5739913)",0.0,7.0,0.0,4.76,7144.0,289.0,2021-08-19 18:10:45,2.398656215005599,60.714285714285715,3
105,105,V54710278,V51759,12527,2021-08-19 20:09:50,"(52.4134508, 13.574114)",0.01,1.0,1.25,4.77,7145.0,290.0,2021-08-19 18:10:45,2.403358992302309,60.79664570230609,3
106,106,V54710278,V51759,12527,2021-08-19 20:09:51,"(52.4133184, 13.5743654)",0.02,1.0,2.0,4.79,7146.0,292.0,2021-08-19 18:10:45,2.4130982367758187,60.96033402922756,3
107,107,V54710278,V51759,12527,2021-08-19 20:09:53,"(52.4132135, 13.5745499)",0.02,2.0,2.28,4.81,7148.0,294.0,2021-08-19 18:10:45,2.4224958030218238,61.12266112266113,3
108,108,V54710278,V51759,12527,2021-08-19 20:09:55,"(52.4131067, 13.5747283)",0.02,2.0,1.82,4.83,7150.0,296.0,2021-08-19 18:10:45,2.431888111888112,61.28364389233954,3
109,109,V54710278,V51759,12527,2021-08-19 20:09:56,"(52.4130575, 13.574805)",0.01,1.0,1.0,4.84,7151.0,297.0,2021-08-19 18:10:45,2.436582296182352,61.36363636363637,3
110,110,V54710278,V51759,12527,2021-08-19 20:09:57,"(52.4130139, 13.5748697)",0.01,1.0,1.04,4.85,7152.0,298.0,2021-08-19 18:10:45,2.4412751677852347,61.44329896907217,3
111,111,V54710278,V51759,12527,2021-08-19 20:10:05,"(52.4129857, 13.5749089)",0.0,8.0,0.0,4.85,7160.0,298.0,2021-08-19 18:10:45,2.4385474860335195,61.44329896907217,3
112,112,V54710278,V51759,12527,2021-08-19 20:10:06,"(52.4128648, 13.5750807)",0.02,1.0,2.54,4.87,7161.0,301.0,2021-08-19 18:10:45,2.448261416003352,61.80698151950718,3
113,113,V54710278,V51759,12527,2021-08-19 20:10:07,"(52.4127881, 13.5751897)",0.01,1.0,1.22,4.88,7162.0,302.0,2021-08-19 18:10:45,2.4529461044401004,61.885245901639344,3
114,114,V54710278,V51759,12527,2021-08-19 20:10:11,"(52.4124986, 13.5755444)",0.04,4.0,4.2,4.92,7166.0,306.0,2021-08-19 18:10:45,2.4716717834217135,62.19512195121951,3
115,115,V54710278,V51759,12527,2021-08-19 20:10:14,"(52.4123328, 13.5757179)",0.02,3.0,2.06,4.94,7169.0,308.0,2021-08-19 18:10:45,2.4806807086065006,62.348178137651814,3
116,116,V54710278,V51759,12527,2021-08-19 20:10:17,"(52.4121785, 13.5758721)",0.02,3.0,1.46,4.96,7172.0,309.0,2021-08-19 18:10:45,2.4896820970440605,62.29838709677419,3
117,117,V54710278,V51759,12527,2021-08-19 20:10:20,"(52.4120368, 13.5760082)",0.02,3.0,1.46,4.98,7175.0,310.0,2021-08-19 18:10:45,2.4986759581881537,62.248995983935735,3
118,118,V54710278,V51759,12527,2021-08-19 20:10:22,"(52.4119875, 13.5760568)",0.01,2.0,0.8,4.99,7177.0,311.0,2021-08-19 18:10:45,2.50299568064651,62.324649298597194,3
119,119,V54710278,V51759,12527,2021-08-19 20:10:26,"(52.4118003, 13.5762481)",0.02,4.0,1.56,5.01,7181.0,313.0,2021-08-19 18:10:45,2.511627906976744,62.4750499001996,3
120,120,V54710278,V51759,12527,2021-08-19 20:10:32,"(52.4116543, 13.576413)",0.02,6.0,1.42,5.03,7187.0,314.0,2021-08-19 18:10:45,2.519549186030333,62.42544731610338,3
121,121,V54710278,V51759,12527,2021-08-19 20:10:47,"(52.4114681, 13.576623)",0.03,15.0,2.4,5.06,7202.0,316.0,2021-08-19 18:10:45,2.52929741738406,62.4505928853755,3
122,122,V54710278,V51759,12527,2021-08-19 20:10:56,"(52.4113265, 13.5768026)",0.02,9.0,1.84,5.08,7211.0,318.0,2021-08-19 18:10:45,2.5361253640271806,62.59842519685039,3
123,123,V54710278,V51759,12527,2021-08-19 20:11:58,"(52.4105047, 13.5780186)",0.12,62.0,9.0,5.2,7273.0,327.0,2021-08-19 18:10:45,2.5739034786195516,62.88461538461538,3
124,124,V54710278,V51759,12527,2021-08-19 20:12:56,"(52.4099835, 13.5787989)",0.08,58.0,5.92,5.28,7331.0,333.0,2021-08-19 18:10:45,2.5928249897694724,63.06818181818181,3
125,125,V54710278,V51759,12527,2021-08-19 20:13:14,"(52.4098713, 13.5789913)",0.02,18.0,1.28,5.3,7349.0,334.0,2021-08-19 18:10:45,2.5962716015784464,63.0188679245283,3
126,126,V54710278,V51759,12527,2021-08-19 20:13:32,"(52.4097545, 13.5792148)",0.02,18.0,1.5,5.32,7367.0,336.0,2021-08-19 18:10:45,2.5997013709786887,63.1578947368421,3
127,127,V54710278,V51759,12527,2021-08-19 20:14:26,"(52.4094177, 13.579988)",0.06,54.0,3.24,5.38,7421.0,339.0,2021-08-19 18:10:45,2.609890850289718,63.01115241635688,3
128,128,V54710278,V51759,12527,2021-08-19 20:18:50,"(52.4082912, 13.5825703)",0.22,264.0,11.44,5.6,7685.0,350.0,2021-08-19 18:10:45,2.6232921275211445,62.50000000000001,3
129,129,V54710278,V51759,12527,2021-08-19 20:25:08,"(52.407198, 13.5850694)",0.21,378.0,11.55,5.81,8063.0,362.0,2021-08-19 18:10:45,2.59407168547687,62.30636833046472,3
130,130,V54710278,V51759,12527,2021-08-19 20:25:44,"(52.4070879, 13.585339)",0.02,36.0,1.18,5.83,8099.0,363.0,2021-08-19 18:10:45,2.591431040869243,62.264150943396224,3
131,131,V54710278,V51759,12527,2021-08-19 20:34:44,"(52.4055281, 13.5889324)",0.3,540.0,19.2,6.13,8639.0,382.0,2021-08-19 18:10:45,2.5544623220280127,62.31647634584013,3
132,132,V54710278,V51759,12527,2021-08-19 20:35:20,"(52.4054788, 13.5890628)",0.01,36.0,0.58,6.14,8675.0,383.0,2021-08-19 18:10:45,2.5480115273775215,62.37785016286645,3
133,133,V54710278,V51759,12527,2021-08-19 20:41:20,"(52.4049383, 13.5902914)",0.1,360.0,4.9,6.24,9035.0,388.0,2021-08-19 18:10:45,2.4863309352517984,62.179487179487175,3
134,134,V54710278,V51759,12527,2021-08-19 20:51:32,"(52.4040487, 13.5923593)",0.17,612.0,9.52,6.41,9647.0,398.0,2021-08-19 18:10:45,2.392038975847414,62.090483619344774,3
135,135,V54710278,V51759,12527,2021-08-19 20:52:08,"(52.4041261, 13.5924404)",0.01,36.0,0.4,6.42,9683.0,398.0,2021-08-19 18:10:45,2.3868635753382215,61.993769470404985,3
136,136,V54710278,V51759,12527,2021-08-19 20:52:44,"(52.4041713, 13.5924724)",0.01,36.0,0.4,6.43,9719.0,398.0,2021-08-19 18:10:45,2.3817265150735674,61.89735614307932,3
